sample_id,logical_id,condition,dataset_id,seed,opus_outcome,verdict,failure_class,confidence,brief_reason,counterexample,task_record
review_005168,pred_simplify::gplearn::g0018::s520::noise005,noise005,MatSci21,520,simplified,fail,protected_operator_semantics,0.999,"The scaled-division rewrite is invalid under gplearn's protected division cutoff. Although 0.683/(2*epsilon-1.244) and 0.3415/(epsilon-0.622) agree under ordinary division, scaling the denominator changes when the protected fallback value 1 is used. The protected-log expansion can likewise differ near its cutoffs. Both expressions remain real-valued for all real epsilon and T, and the variable mapping is unchanged.","epsilon=0.62275, T=1. Then |2*epsilon-1.244|=0.0015>0.001, so the original term is 0.683/0.0015≈455.3333333333, while |epsilon-0.622|=0.00075<=0.001, so the proposed protected-division term equals 1. The outer factor is approximately -0.804, so the complete expression values differ substantially.",per_model/gpt-5.6-sol/tasks/review_005168.json
review_005172,pred_simplify::gplearn::g0022::s520::noise005,noise005,Nguyen-6,520,simplified,pass,,1.0,"The proposed expression exactly factors the two terms containing sin(sin(sin(x1))): a*b + b = (a + 1)*b. All sine operations and the fixed variable x1 are preserved, and both expressions are real-valued for every real x1.",,per_model/gpt-5.6-sol/tasks/review_005172.json
review_005174,pred_simplify::gplearn::g0024::s520::noise005,noise005,feynman_II_15_4,520,simplified,pass,,0.99,"The proposed expression exactly factors the common multiplicative term cos(theta) from the three summed terms and retains the outer factor cos(cos(0.635*theta)). Reordering B*mom versus mom*B does not change values, and all protected log and sqrt calls retain their arguments and semantics. Variables and constants are unchanged.",,per_model/gpt-5.6-sol/tasks/review_005174.json
review_005175,pred_simplify::gplearn::g0025::s520::noise005,noise005,feynman_I_12_11,520,simplified,pass,,1.0,"The proposed expression factors out the common multiplier q using the distributive law: q*Ef + q*B*v*sin(theta) = q*(Ef + B*v*sin(theta)). All variables and operator meanings are unchanged, and both expressions are real-valued on the same domain.",,per_model/gpt-5.6-sol/tasks/review_005175.json
review_005176,pred_simplify::gplearn::g0026::s520::noise005,noise005,feynman_I_27_6,520,simplified,pass,,0.99,"Let r=div(d2,n) and L=log(d1) under the protected semantics. The original amplitude is sqrt(sqrt(r)*sqrt(rL))=|r|^(1/2)|L|^(1/4), while the proposed amplitude sqrt(sqrt(L))*sqrt(r) has the same value. The sine factor is unchanged, all variables retain their mappings, and the proposed expression removes one repeated div occurrence.",,per_model/gpt-5.6-sol/tasks/review_005176.json
review_005180,pred_simplify::gplearn::g0030::s520::noise005,noise005,strogatz_predprey2,520,simplified,pass,,1.0,"The replaced factor is algebraically identical: 0.132*x*(x + 0.747) + x = x*(0.132*x + 0.132*0.747 + 1) = x*(0.132*x + 1.098604). All variables and protected operators remain unchanged, and the replacement uses fewer operations.",,per_model/gpt-5.6-sol/tasks/review_005180.json
review_005181,pred_simplify::gplearn::g0031::s520::noise005,noise005,strogatz_shearflow1,520,simplified,pass,,0.99,"Let A=(log(y)-0.513)*(sin(sin(log(x)))-0.373) and B=6.75675675675676*y+log(x/cos(x)). Under protected sqrt, sqrt(A)*sqrt(B)=sqrt(abs(A))*sqrt(abs(B))=sqrt(abs(A*B))=sqrt(A*B). All other protected operations, constants, and variable mappings are unchanged, while one sqrt call is eliminated.",,per_model/gpt-5.6-sol/tasks/review_005181.json
review_005182,pred_simplify::gplearn::g0032::s520::noise005,noise005,strogatz_vdp1,520,simplified,pass,,0.99,"Let s=sqrt(abs(x)) under the protected semantics. The original nested term expands to -y*(8.0354609929078*s^3+s^2+s+9)-sin(y). On the proposed expression's real domain, x**(3/2) requires x>=0, so s^3=x**(3/2) and s^2=x; after distributing the leading minus, the expressions agree. The proposal contracts the domain because the original protected sqrt is real for negative x as well, but domain-only differences do not fail the audit.",,per_model/gpt-5.6-sol/tasks/review_005182.json
review_005196,pred_simplify::gplearn::g0046::s520::noise005,noise005,feynman-i.32.5,520,unchanged,pass,,1.0,"Both expressions are exactly the same real constant, -0.001. The proposed form only removes redundant trailing zeros and preserves the all-real domain, variable mapping, and operator semantics.",,per_model/gpt-5.6-sol/tasks/review_005196.json
review_005197,pred_simplify::gplearn::g0047::s520::noise005,noise005,feynman-i.43.31,520,unchanged,pass,,1.0,"Both expressions denote exactly the same real constant, -0.001. No variables or protected operators are involved, and the proposed decimal notation is shorter.",,per_model/gpt-5.6-sol/tasks/review_005197.json
review_005200,pred_simplify::gplearn::g0050::s520::noise005,noise005,Vladislavleva-4,520,simplified,pass,,1.0,"Both expressions are the same fixed real constant, 0.502. Removing trailing zeros preserves the value and domain while reducing textual complexity.",,per_model/gpt-5.6-sol/tasks/review_005200.json
review_005203,pred_simplify::gplearn::g0003::s521::noise005,noise005,Korns-2,521,simplified,fail,protected_operator_semantics,0.999,"Combining separately protected divisions changes their values when denominators are near zero. Although the proposed form is algebraically simpler under ordinary division, it does not preserve gplearn protected-division semantics.","At x1=x2=x3=x4=x5=0, all expressions are defined. Considering the changed terms, proposed-original = -1 + sin(sin(1))-sin(sin(2)) + sin(1)-sin(2) + sin(1)-sin(4) ≈ 0.487, so the full values differ.",per_model/gpt-5.6-sol/tasks/review_005203.json
review_005214,pred_simplify::gplearn::g0014::s521::noise005,noise005,II.11.27_1_0,521,unchanged,pass,,0.999,"The proposal only commutes multiplication: Pol*Ef becomes Ef*Pol, and n*epsilon*Ef becomes Ef*epsilon*n. These have identical values, preserve the protected outer division threshold because the denominator value is unchanged, and retain all variables and other operators unchanged.",,per_model/gpt-5.6-sol/tasks/review_005214.json
review_005221,pred_simplify::gplearn::g0021::s521::noise005,noise005,Nguyen-12,521,simplified,pass,,0.99,"The denominator changes sign while the numerator is also negated, so the quotient is unchanged. Under protected division, |-(x2+0.709)|=|x2+0.709|, so both expressions trigger the fallback value 1 at exactly the same inputs and otherwise have identical ratios. Variable mapping and complexity are preserved.",,per_model/gpt-5.6-sol/tasks/review_005221.json
review_005223,pred_simplify::gplearn::g0023::s521::noise005,noise005,Nguyen-9,521,simplified,fail,protected_operator_semantics,0.99,"The rewrite is invalid under protected gplearn semantics. If t=log(x2), then the original protected composition log(sqrt(t)) activates when |t|>1e-6, whereas protected log(t)/2 activates only when |t|>0.001. Thus they produce different values in the common real-valued domain. The explicit fourth-root notation can also contract the real domain when its base is negative.","Let x1=0 and x2=exp(0.0001). Then protected log(x2)=0.0001. The original inner term is log(sqrt(0.0001))=log(0.01)≈-4.605170186, while the proposed inner term is protected_log(0.0001)/2=0. Both fourth-root bases are nonnegative here, so both expressions are real, but their final values differ (approximately 0.846 versus 0.648).",per_model/gpt-5.6-sol/tasks/review_005223.json
review_005224,pred_simplify::gplearn::g0024::s521::noise005,noise005,feynman_II_15_4,521,simplified,pass,,0.98,"On the common real-valued domain, where mom*B and mom+B permit the proposed fractional powers, protected sqrt semantics give sqrt(abs(mom*(A-c)))*sqrt(abs(B*sqrt(abs(mom+B)))) = sqrt(mom*B)*(mom+B)^(1/4)*sqrt(abs(A-c)), with A=(mom*B)^(5/8)*(mom+B)^(1/8) and c=0.585662018573853. Thus the values agree. The proposal contracts the domain but preserves variables and protected-sqrt values, and uses fewer operations.",,per_model/gpt-5.6-sol/tasks/review_005224.json
review_005225,pred_simplify::gplearn::g0025::s521::noise005,noise005,feynman_I_12_11,521,simplified,pass,,1.0,"Expanding the proposal gives 3*Ef - 3*v + q*v*B*sin(theta) + q*v, exactly matching the original. Both are real-valued for all real inputs, preserve every variable and sin semantics, and the factored form uses fewer operations.",,per_model/gpt-5.6-sol/tasks/review_005225.json
review_005226,pred_simplify::gplearn::g0026::s521::noise005,noise005,feynman_I_27_6,521,simplified,fail,protected_operator_semantics,0.99,"The rewrite log(sqrt(A)) -> log(A)/2 is invalid under protected gplearn semantics. For 1e-6 < |A| <= 0.001, the original protected log evaluates log(sqrt(|A|)), while the proposed protected log(A) evaluates 0 before division by 2. The quarter-power rewrite also contracts the real domain relative to nested protected sqrt operations.","Let n=1, d2=1, and d1=0.0001-sqrt(1+sin(sin(1))), so A=d1+sqrt(n+sin(sin(d2/sqrt(n))))=0.0001. The original sine argument is log(sqrt(A))=log(0.01), whereas the proposed argument is log(A)/2=0/2=0 under the protected-log threshold. The nonzero common prefactor makes the expression values unequal.",per_model/gpt-5.6-sol/tasks/review_005226.json
review_005227,pred_simplify::gplearn::g0027::s521::noise005,noise005,feynman_test_15,521,unchanged,fail,protected_operator_semantics,1.0,"The authoritative native program uses nested protected divisions, whose values are not generally equal to ordinary algebraic division. For c=1, v=0, omega=1, theta=0, the native protected expression evaluates to 0, while the proposal evaluates to 1. The proposal also excludes c=0, whereas the native protected program remains defined there.","c=1, v=0, omega=1, theta=0: native = sub(1, div(1, div(div(1,1),0))) = sub(1, div(1,1)) = 0; proposed = 1 - 1*0*1/1 = 1.",per_model/gpt-5.6-sol/tasks/review_005227.json
review_005232,pred_simplify::gplearn::g0032::s521::noise005,noise005,strogatz_vdp1,521,simplified,fail,protected_operator_semantics,0.99,"The simplification replaces protected log(x**2) with 2*protected log(x). This identity fails when 0.001 < abs(x) <= sqrt(0.001), because log(x) is active while log(x**2) returns 0. Thus values differ on the common real-valued domain.","x=0.01, y=pi/2. Protected log(x)=log(0.01)=-4.605170185988091, but protected log(x**2)=0 since x**2=0.0001<=0.001. The proposed value differs from the original by approximately 0.12178.",per_model/gpt-5.6-sol/tasks/review_005232.json
review_005240,pred_simplify::gplearn::g0040::s521::noise005,noise005,feynman-i.29.16,521,simplified,fail,protected_operator_semantics,0.999,"Combining the square roots and divisions changes gplearn protected-division behavior. In particular, for 0.001<|x2-x3|<=sqrt(0.001), the original sequential divisions use ordinary division, while the proposed division by (x2-x3)^2 returns the protected fallback value 1. Thus values differ despite unchanged variables and domain.","At x0=1, x1=1, x2=0.01, x3=0, the original is approximately 1.9999747, whereas the proposed expression is approximately 1.6445.",per_model/gpt-5.6-sol/tasks/review_005240.json
review_005246,pred_simplify::gplearn::g0046::s521::noise005,noise005,feynman-i.32.5,521,simplified,pass,,1.0,"Both expressions are the same fixed real constant, 0.001; only the decimal formatting differs. Their domains, variable mapping, and operator semantics are unchanged.",,per_model/gpt-5.6-sol/tasks/review_005246.json
review_005250,pred_simplify::gplearn::g0050::s521::noise005,noise005,Vladislavleva-4,521,unchanged,pass,,1.0,"Both expressions are the same real constant, 0.502, on the same unrestricted real input domain. No variables or operators are present, and the shorter decimal representation is simpler.",,per_model/gpt-5.6-sol/tasks/review_005250.json
review_005253,pred_simplify::gplearn::g0003::s522::noise005,noise005,Korns-2,522,simplified,fail,protected_operator_semantics,1.0,"The algebraic collection over x5 is invalid for gplearn protected division. When abs(x5)<=0.001, each of the original expression's three separate outer divisions by x5 returns 1, so their sum is 3; the proposed expression has one outer protected division and returns 1.","At x1=x2=x3=x4=1 and x5=0, all protected operations are defined. The original evaluates to 1+1+1=3, while the proposed simplification evaluates to 1.",per_model/gpt-5.6-sol/tasks/review_005253.json
review_005259,pred_simplify::gplearn::g0009::s522::noise005,noise005,CRK10,522,unchanged,pass,,1.0,"Both expressions are the same fixed real constant, 0.001. Removing trailing zeros preserves the value and full real-valued domain; no variables or operators are involved.",,per_model/gpt-5.6-sol/tasks/review_005259.json
review_005264,pred_simplify::gplearn::g0014::s522::noise005,noise005,II.11.27_1_0,522,simplified,fail,protected_operator_semantics,0.99,"The authoritative native program contains sqrt(epsilon)*sqrt(epsilon)=abs(epsilon), whereas the proposed expression uses epsilon. These differ for negative epsilon under gplearn's protected sqrt semantics, so factoring as proposed changes values on the common domain.","Pol=1, n=1, epsilon=-1, Ef=1. The native denominator uses +abs(epsilon)*Ef*sin(sin(0.818*epsilon))*sin(Ef*sin(sin(sin(0.818*epsilon)))), while the proposal uses +epsilon times that product; the product is nonzero, and both protected-division denominators have magnitude >0.001, yielding different outputs.",per_model/gpt-5.6-sol/tasks/review_005264.json
review_005265,pred_simplify::gplearn::g0015::s522::noise005,noise005,II.34.2_1_0,522,simplified,fail,protected_operator_semantics,0.99,"The algebraic denominator rewrite is valid for ordinary division but not for gplearn's protected division, because regrouping changes when the 0.001 cutoff is applied. The proposed q**(1/4) also excludes negative q that the authoritative nested protected square roots accept, though that domain difference alone is not the failure.","mom=1, q=1, r=0.0005. In the authoritative prefix program, both divisions by r return 1, so the output is sqrt(cos(sin(1))/(1-sin(1))) ≈ 2.05. In the proposal, r**2*(1-sin(1)) has magnitude below 0.001, so the protected outer division returns 1 and the output is 1.",per_model/gpt-5.6-sol/tasks/review_005265.json
review_005275,pred_simplify::gplearn::g0025::s522::noise005,noise005,feynman_I_12_11,522,simplified,pass,,1.0,"Factoring out q by distributivity gives q*Ef + q*B*v*sin(theta) = q*(Ef + B*v*sin(theta)) for all real inputs. The variable mapping and ordinary operator semantics are unchanged, the domain remains all real inputs, and the factored form uses fewer multiplications.",,per_model/gpt-5.6-sol/tasks/review_005275.json
review_005277,pred_simplify::gplearn::g0027::s522::noise005,noise005,feynman_test_15,522,simplified,fail,protected_operator_semantics,0.999,"The algebraic rewrite is valid for ordinary division away from the protection threshold, but not for nested gplearn protected divisions. Squaring the denominator changes when the protected-division fallback is activated, producing different values on the common domain.","Let c=0.0005, v=0, omega=1, theta=0, and s=sin(1). In the original, every division by c is protected and returns 1, so the value is 1-2s ≈ -0.6829419696. In the proposal, c**2=2.5e-7 triggers protected division for the combined quotient, which returns 1, so the value is 1*(1-1)=0.",per_model/gpt-5.6-sol/tasks/review_005277.json
review_005282,pred_simplify::gplearn::g0032::s522::noise005,noise005,strogatz_vdp1,522,simplified,pass,,0.99,"The proposal uses the identities -x*(x-sin(y))=x*(sin(y)-x), moves 3.78787878787879*y*cos(x) into the common factor y, and factors cos(x) from the two corresponding terms. All constants, variables, and protected log semantics are unchanged, so values and domain are preserved.",,per_model/gpt-5.6-sol/tasks/review_005282.json
review_005300,pred_simplify::gplearn::g0050::s522::noise005,noise005,Vladislavleva-4,522,unchanged,pass,,1.0,"Both expressions are the same real constant, 0.501, with identical all-real domains. No variables or operators are present, and the proposed decimal notation is shorter.",,per_model/gpt-5.6-sol/tasks/review_005300.json
